Address: USD : PerSqft: Beds: Baths: TotalSqft: Date
"10290 Sterling Blvd, Cupertino, CA" : 485000 : 462 :3  : 1  : 1048: "12/1/14"
"21875 Almaden Ave, Cupertino, CA" : 1850000 : 974 :3  : 2  : 1901: "11/26/14"
"15988 Flintlock Rd, Cupertino, CA" : 1400000 : 795 :3  : 3  : 1760: "11/26/14"
"10149 S Tantau Ave, Cupertino, CA" : 1650000 : 1,094 :3  : 2  : 1508: "11/26/14"
"22343 Mcclellan Rd, Cupertino, CA" : 1800000 : 820 :2  : 2  : 2193: "11/26/14"
"10245 Anthy Pl, Cupertino, CA" : 2000000 : 629 :5  : 3  : 3187: "11/26/14"
"10477 Mary Ave, Cupertino, CA" : 775000 : 637 :2  : 2  : 1216: "11/25/14"
"873 Hyde Ave, Cupertino, CA" : 1440000 : 700 :6  : 3  : 2055: "11/24/14"
"21865 Lomita Ave, Cupertino, CA" : 1650000 : 915 :3  : 2  : 1802: "11/24/14"
"21871 Lomita Ave, Cupertino, CA" : 1600000 : 1,587 :3  : 1  : 1008: "11/24/14"
"20388 Clifden Way, Cupertino, CA" : 1440000 : 996 :3  : 2  : 1440 :"11/21/14"
"10760 Johns Ave, Cupertino, CA" : 1220000 : 1,164 :3  : 1  : 1048 :"11/21/14"
"10264 Danube Dr, Cupertino, CA" : 798000 : 666 :2  : 2  : 1198 :"11/21/14"
"1158 Scotland Dr, Cupertino, CA" : 1340000 : 1,126 :3  : 2  : 1190 :"11/20/14"
"10860 Johns Ave, Cupertino, CA" : 950000 : 1,059 :3  : 1  : 897 :"11/20/14"
"21891 Granada Ave, Cupertino, CA" : 1300000 : 1,377 :1  : 1  : 944 :"11/14/14"
"6389 Cottwood Ct, Cupertino, CA" : 1460000 : 866 :4  : 3  : 1684 :"11/14/14"
"19743 Wintergreen Dr, Cupertino, CA" : 175000 : 89 :3  : 2  : 1958 :"11/14/14"
"10865 W Estates Dr, Cupertino, CA" : 1190000 : 913 :4  : 2  : 1300 :"11/12/14"
"18975 Tuggle Ave, Cupertino, CA" : 1250000 : 1,041 :3  : 1  : 1200:"11/10/14"
"19852 Portal Plz, Cupertino, CA" : 910000 : 733 :2  : 3  : 1240 :"11/10/14"
"21876 Byrne Ct, Cupertino, CA" : 1450000 : 964 :3  : 2  : 1498 :"11/10/14"
"10530 Santa Lucia Rd, Cupertino, CA" : 1840000 : 1,003 :4  : 2  : 1833 :"11/7/14"
"20790 Garden Gate Dr, Cupertino, CA" : 1750000 : 1,400 :4  : 1.5  : 1250 :"11/7/14"
"20488 Stevens Creek Blvd APT 2315, Cupertino, CA" : 1200000 : 696 :3  : 3  : 1724 :"11/6/14"
"20202 Joseph Cir, Cupertino, CA" : 1240000 : 660 :3  : 2.5  : 1879 :"11/5/14"
"10141 Phar Lap Dr, Cupertino, CA" : 1780000 : 940 :3  : 3  : 1893 :"11/5/14"
"7910 October Way, Cupertino, CA" : 1000000 : 644 :3  : 2  : 1552 :"11/4/14"
"20032 Northcrest Sq, Cupertino, CA" : 1000000 : 675 :3  : 2  : 1487 :"11/4/14"
"7491 De La Farge Dr, Cupertino, CA" : 1660000 : 935 :3  : 2  : 1774 :"11/4/14"
"10030 Mossy Oak Ct, Cupertino, CA" : 1110000 : 674 :4  : 2.5  : 1645 :"10/31/14"
"18940 Loree Ave, Cupertino, CA" : 550000 : 510 :3  : 2  : 1078 :"10/31/14"
"18651 Cynthia Ave, Cupertino, CA" : 2300000 : 689 :5  : 4  : 3338 :"10/31/14"
"20677 Craig Ct, Cupertino, CA" : 1760000 : 989 :4  : 3  : 1779 :"10/31/14"
"20041 Northwood Dr, Cupertino, CA" : 950000 : 638 :2  : 2  : 1487 :"10/31/14"
"10745 N De Anza Blvd UNIT 308, Cupertino, CA" : 839000 : 637 :2  : 2  : 1317 :"10/30/14"
"10745 N De Anza Blvd UNIT 215, Cupertino, CA" : 838888 : 717 :2  : 2  : 1169 :"10/30/14"
"20500 Town Center Ln UNIT 263, Cupertino, CA" : 605000 : 814 :1  : 1  : 743 :"10/28/14"
"6149 Shadygrove Dr, Cupertino, CA" : 1390000 : 886 :4  : 2  : 1566 :"10/24/14"
"10206 English Oak Way, Cupertino, CA" : 2000000 : 888 :4  : 2.5  : 2252 :"10/24/14"
"21030 Gardena Dr, Cupertino, CA" : 1030000 : 847 :2  : 1  : 1215 :"10/24/14"
"19999 Stevens Creek Blvd UNIT 207, Cupertino, CA" : 870000 : 729 :2  : 2  : 1192 :"10/23/14"
"10138 Imperial Ave, Cupertino, CA" : 1240000 : 725 :3  : 2.5  : 1709 :"10/23/14"
"10475 Dempster Ave, Cupertino, CA" : 1600000 : 769 :4  : 3  : 2080 :"10/21/14"
"1480 Aster Ct, Cupertino, CA" : 1660000 : 944 :4  :3  : 1758 :"10/21/14"
"10172 Bilich Pl, Cupertino, CA" : 2040000 : 816 :5  : 3  : 2493 :"10/17/14"
"21650 Fitzgerald Dr, Cupertino, CA" : 1650000 : 768 :4  : 2.5  : 2146 :"10/17/14"
"20174 Northwind Sq, Cupertino, CA" : 910000 : 858 :2  : 2  : 1060 :"10/16/14"
"21544 Cradia Ct, Cupertino, CA" : 1820000 : 920 :4  : 2  : 1983 :"10/16/14"
"20233 Northcove Sq, Cupertino, CA" : 680000 : 640 :1  : 1  : 1062 :"10/15/14"
"19731 Auburn Ct, Cupertino, CA" : 1650000 : 1,006 :4  : 2  : 1640 :"10/15/14"
"20683 Sunrise Dr, Cupertino, CA" : 1730000 : 1,498 :3  : 1  : 1153 :"10/10/14"
"1107 S Stelling Rd, Cupertino, CA" : 1490000 : 1,244 :3  : 2  : 1196 :"10/10/14"
"18840 Tils Ave, Cupertino, CA" : 1120000 : 1,199 :3  : 1  : 934 :"10/10/14"
"10559 Felt Way, Cupertino, CA" : 2560000 : 798 :4  : 3.5  : 3204 :"10/10/14"
"10390 Stokes Ave, Cupertino, CA" : 1520000 : 708 :4  : 2.5  : 2147 :"10/10/14"
"20888 Fargo Dr, Cupertino, CA" : 1880000 : 1,473 :3  : 1  : 1276 :"10/10/14"
"10970 Kester Dr, Cupertino, CA" : 1600000 : 757 :2  : 2  : 2119 :"10/10/14"
"10218 Bret Ave, Cupertino, CA" : 2670000 : 774 :5  : 5  : 3447 :"10/8/14"
"21454 Shann Ct, Cupertino, CA" : 1900000 : 925 :4  : 3  : 2054 :"10/8/14"
"10185 Lockwood Dr, Cupertino, CA" : 2130000 : 824 :5  : 3  : 2590 :"10/7/14"
"21481 Elm Ct, Cupertino, CA" : 1750000 : 982 :4  : 3.5  : 1787 :"10/6/14"
"843 Betlin Ave, Cupertino, CA" : 1330000 : 1,048 :3  : 2  : 1269 :"10/6/14"
"10386 Avenida Ln, Cupertino, CA" : 2750000 : 767 :3  : 3.5  : 3582 :"10/3/14"
"8147 Park Villa Cir, Cupertino, CA" : 1100000 : 970 :3  : 2  : 1136 :"9/30/14"
"795 Alderbrook Ln, Cupertino, CA" : 1860000 : 675 :5  : 4.5  : 2752 :"9/30/14"
"8078 Park Villa Cir, Cupertino, CA" : 938000 : 995 :2  : 2  : 942 :"9/30/14"
"948 Brookgrove Ln, Cupertino, CA" : 1630000 : 1,137 :4  : 2  : 1432 :"9/30/14"
"10745 N De Anza Blvd UNIT 115, Cupertino, CA" : 900000 : 769 :2  : 2  : 1169: "9/29/14"
"22545 Kinst Ct, Cupertino, CA" : 1320000 : 799 :3  : 2.5  : 1655 :"9/26/14 "
"11077 Linda Vista Dr, Cupertino, CA" : 2000000 : 1,136 :4  : 2  : 1760 :"9/26/14"
"10094 Liberty Oak Ln, Cupertino, CA" : 1100000 : 697 :4  : 3  : 1576 :"9/25/14"
"11508 Rock Spring Ct, Cupertino, CA" : 1910000 : 816 :4  : 3  : 2334 :"9/25/14"
"7762 Robindell Way, Cupertino, CA" : 1620000 : 962 :3  : 2  : 1683 :"9/25/14"
"6360 Candlewood Ct, Cupertino, CA" : 1050000 : 874 :3  : 2  : 1201 :"9/24/14"
"10060 Firwood Dr, Cupertino, CA" : 835000 : 827 :2  : 2  : 1009 :"9/24/14"
"21445 Holly Oak Dr, Cupertino, CA" : 1770000 : 855 :5  : 2.5  : 2070 :"9/24/14"
"10192 Parlett Pl, Cupertino, CA" : 1770000 : 842 :4  : 2  : 2108 :"9/23/14"
"10317 Mary Ave, Cupertino, CA" : 810000 : 666 :2  : 1.5  : 1216 :"9/22/14"
"20731 Hanford Dr, Cupertino, CA" : 2900000 : 805 :5  : 5.5  : 3600 :"9/19/14"
"10230 Johns Ave, Cupertino, CA" : 1310000 : 508 :5  : 4  : 2575 :"9/19/14"
"20669 Celeste Cir, Cupertino, CA" : 800000 : 663 :2  : 2  : 1206 :"9/18/14"
"22080 Wallace Dr, Cupertino, CA" : 1310000 : 788 :3  : 2  : 1663 :"9/18/14"
"19503 Stevens Creek Blvd STE 259, Cupertino, CA" : 860000 : 780 :2  : 2  : 1102 :"9/16/14"
"10153 Denis Ave, Cupertino, CA" : 1610000 : 1,037 :3  : 2  : 1552 :"9/16/14"
"10630 E Estates Dr, Cupertino, CA" : 1720000 : 812 :4  : 3  : 2121 :"9/12/14"
"10585 Flora Vista Ave, Cupertino, CA" : 1760000 : 1,035 :3  : 2  : 1700 :"9/12/14"
"810 Candlewood Dr, Cupertino, CA" : 1380000 : 1,147 :3  : 2  : 1201 :"9/12/14"
"10591 Wunderlich Dr, Cupertino, CA" : 2270000 : 595 :5  : 7  : 3818 :"9/11/14"
"21030 Greenleaf Dr, Cupertino, CA" : 1520000 : 885 :4  : 2  : 1716 :"9/11/14"
"10822 Via San Marino, Cupertino, CA" : 1230000 : 607 :3  : 3  : 2015 :"9/11/14"
"22330 Homestead Rd APT 306, Cupertino, CA" : 775000 : 620 :2  : 2  : 1249 :"9/11/14"
"21906 Hyannisport Dr, Cupertino, CA" : 2200000 : 734 :5  : 3.5  : 2997 :"9/10/14"
"10439 Prune Tree Ln, Cupertino, CA" : 1730000 : 800 :4  : 2.5  : 2154 :"9/10/14"
"13811 Mtebello Rd, Cupertino, CA" : 2700000 : 806 :4  : 3  : 3347 :"9/8/14"
"10431 E Estates Dr, Cupertino, CA" : 1480000 : 1,077 :3  : 2  : 1374 :"9/8/14"
"20253 Cartwright Way, Cupertino, CA" : 1210000 : 822 :3  : 2  : 1471 :"9/5/14"
"7778 Lilac Way, Cupertino, CA" : 1380000 : 1,122 :4  : 2  : 1568 :"9/5/14"
"20387 Gillick Way, Cupertino, CA" : 1540000 : 953 :4  : 2  : 1620 :"9/5/14"
"10576 Johns Ave, Cupertino, CA" : 1000000 : 887 :3  : 2  : 1127 :"9/5/14"
"21035 Freedom Dr, Cupertino, CA" : 1280000 : 679 :2  : 2  : 1884 :"9/5/14"
"7998 Woodlark Way, Cupertino, CA" : 1270000 : 1,067 :3  : 2  : 1190 :"9/5/14"
"865 Lily Ave, Cupertino, CA" : 1490000 : 1,039 :4  : 2  : 1433 :"9/4/14"
"10099 Craft Dr, Cupertino, CA" : 660000 : 413 :3  : 2.5  : 1596 :"9/4/14"
"22330 Homestead Rd APT 211, Cupertino, CA" : 720500 : 576 :2  : 2  : 1249 :"9/3/14"
"7675 Erin Way, Cupertino, CA" : 1690000 : 944 :4  : 2  : 1789 :"9/3/14"
"21008 Hazelbrook Dr, Cupertino, CA" : 2230000 : 743 :5  : 3.5  : 3001 :"9/2/14"
